id,codigo,nombre,precioUSD,margenGanancia,unidades,valoresReferencia,opcionesPredefinidas,activa,ordenVisual,subcategoriaId
cmq3vt2li000l3s8w14e8mo3n,QS-AUR,ACIDO URICO,2.5,,mg/dL,"3.5 - 7.5 ",,true,1,cmq3vszy2000b3s8wmpuireuz
cmq3vt38e000n3s8w90l593ai,QS-AMI,AMILASA,5,,U/L,"Hasta 140 ",,true,2,cmq3vszy2000b3s8wmpuireuz
cmq3vt3rk000p3s8w0k7c09s1,QS-COL,COLESTEROL TOTAL,3,,mg/dL,"Menor de 150 ",,true,3,cmq3vszy2000b3s8wmpuireuz
cmq3vt4ty000t3s8wc7w0zwsw,QS-CAL,CALCIO,3,,mg/dL,8.5 - 11.0,,true,4,cmq3vszy2000b3s8wmpuireuz
cmq3vt5d4000v3s8ww7og1yqc,QS-CALI,CALCIO IONICO,4,,mg/dL,"4.6 - 5.3 ",,true,5,cmq3vszy2000b3s8wmpuireuz
cmq3vt5w7000x3s8w4h32fsqx,QS-CRE,CREATININA,2,,mg/dL,"Hombres 0.7 - 1.63 Mujeres 0.5 - 1.1 ",,true,6,cmq3vszy2000b3s8wmpuireuz
cmq3vt6f7000z3s8wa27im84u,QS-CLO,CLORO,4,,mEq/L,"96 - 106 ",,true,7,cmq3vszy2000b3s8wmpuireuz
cmq3vt7hb00133s8wac2rq6cu,QS-FIB,FIBRINOGENO,4.5,,%,200 - 450,,true,8,cmq3vszy2000b3s8wmpuireuz
cmq3vt80c00153s8we420sads,QS-FOS,FOSFORO,2.5,,mg/dL,"Adultos 2.5 - 4.5 Niños 4.0 - 7.0 ",,true,9,cmq3vszy2000b3s8wmpuireuz
cmq3vt8jf00173s8wqo6fxutf,QS-FA,FOSFATASAS ALCALINAS,4.5,,UI/L,"Adultos 40 - 140 ",,true,10,cmq3vszy2000b3s8wmpuireuz
cmq3vt92j00193s8wloa4esdf,QS-GLU,GLUCOSA BASAL (AYUNO),2,,mg/dL,"70 - 110 ",,true,11,cmq3vszy2000b3s8wmpuireuz
cmq3vt9ln001b3s8w29mdgd1i,QS-GPC30,GLUCOSA POST CARGA 30 MIN,2,,mg/dL,,,true,12,cmq3vszy2000b3s8wmpuireuz
cmq3vta4l001d3s8wmt9owxbp,QS-GPC60,GLUCOSA POST CARGA 60 MIN,2,,mg/dL,,,true,13,cmq3vszy2000b3s8wmpuireuz
